mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
15,8,350,165,3693,11.5,70,1,buick skylark 320
16,8,304,150,3433,12,70,1,amc rebel sst
15,8,429,198,4341,10,70,1,ford galaxie 500
14,8,440,215,4312,8.5,70,1,plymouth fury iii
15,8,390,190,3850,8.5,70,1,amc ambassador dpl
14,8,340,160,3609,8,70,1,plymouth 'cuda 340
14,8,455,225,3086,10,70,1,buick estate wagon (sw)
22,6,198,95,2833,15.5,70,1,plymouth duster
21,6,200,85,2587,16,70,1,ford maverick
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan
24,4,107,90,2430,14.5,70,2,audi 100 ls
26,4,121,113,2234,12.5,70,2,bmw 2002
10,8,360,215,4615,14,70,1,ford f250
11,8,318,210,4382,13.5,70,1,dodge d200
27,4,97,88,2130,14.5,71,3,datsun pl510
25,4,113,95,2228,14,71,3,toyota corona
19,6,232,100,2634,13,71,1,amc gremlin
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu
18,6,232,100,3288,15.5,71,1,amc matador
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham
14,8,318,150,4096,13,71,1,plymouth fury iii
13,8,400,170,4746,12,71,1,ford country squire (sw)
18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw)
19,6,250,100,3282,15,71,1,pontiac firebird
23,4,122,86,2220,14,71,1,mercury capri 2000
30,4,79,70,2074,19.5,71,2,peugeot 304
31,4,71,65,1773,19,71,3,toyota corolla 1200
27,4,97,60,1834,19,71,2,volkswagen model 111
24,4,113,95,2278,15.5,72,3,toyota corona hardtop
23,4,97,54,2254,23.5,72,2,volkswagen type 3
21,4,122,86,2226,16.5,72,1,ford pinto runabout
14,8,400,175,4385,12,72,1,pontiac catalina
14,8,351,153,4129,13,72,1,ford galaxie 500
11,8,429,208,4633,11,72,1,mercury marquis
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale
19,3,70,97,2330,13.5,72,3,mazda rx2 coupe
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw)
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw)
22,4,121,76,2511,18,72,2,volkswagen 411 (sw)
26,4,96,69,2189,18,72,2,renault 12 (sw)
28,4,97,92,2288,17,72,3,datsun 510 (sw)
28,4,98,80,2164,15,72,1,dodge colt (sw)
13,8,350,175,4100,13,73,1,buick century 350
13,8,350,145,3988,13,73,1,chevrolet malibu
15,8,318,150,3777,12.5,73,1,dodge coronet custom
13,8,400,150,4464,12,73,1,chevrolet caprice classic
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan
12,8,455,225,4951,11,73,1,buick electra 225 custom
